bairro_origem,bairro_destino,peso,logradouro
zumbi,madalena,1032.95,R. Eduardo Antônio
zumbi,cordeiro,1107.5,R. Brasilandia
tamarineira,jaqueira,781.61,R. Hoel Sette
tamarineira,casa amarela,1681.8,Est. do Arraial
bongi,prado,676.52,Av Eng Abdias de Carvalho
bongi,san martin,1226.93,R. Acajutiba
bongi,mustardinha,618.8,R. Dr Armando Tavares
bongi,afogados,1503.93,R. Escritor Alvaro Lins
cidade universitaria,iputinga,2384.46,R. Borges da Fonseca
torreao,encruzilhada,963.53,R. Augusto Rodrigues
torreao,campo grande,1134.85,R. Djalma Farias
cacote,areias,658.08,R. Dona Ana Aurora
cacote,ibura,2109.27,Est. de Ferro de São Francisco
ipsep,areias,1969.72,R. Terezina
ipsep,ibura,1627.67,R. Alaíde de Sá Leitão
ipsep,imbiribeira,1205.19,R. Alexandre Almeida
ipsep,cacote,1449.54,R. Femeb
porto da madeira,fundao,776.0,R. Alto do Benjamim
porto da madeira,beberibe,741.76,R. do Anil
porto da madeira,agua fria,1237.04,R. Ajapi
jordao,ibura,1798.88,R. Dr Alvaro Ferraz
jordao,boa viagem,3839.81,R. Canal do Jordao
prado,san martin,1709.07,Av Gal San Martin
prado,cordeiro,1599.85,R. Antônio Machado
prado,ilha do retiro,1387.47,R. Padre Gabriel Mousinho
prado,afogados,2016.63,R. Brejo da Madre de Deus
dois irmaos,caxanga,2351.6,R. Manuel de Medeiros
dois irmaos,apipucos,1755.7,R. Dois Irmaos
madalena,ilha do retiro,1153.18,R. Benfica
torroes,san martin,1190.03,R. Delmiro Gouveia
torroes,cordeiro,1626.91,R. Antônio Carlos
iputinga,cordeiro,1828.7,R. Ambrosio Machado
caxanga,varzea,3098.8,Av. Afonso Olindense
caxanga,apipucos,2075.86,R. Caetes
iputinga,caxanga,1993.72,R. Alcides Codeceira
iputinga,monteiro,1341.93,Pte Barqueiro Sinval Peixoto da Silva
san martin,jardim sao paulo,2155.44,Av João Cabral de M. Neto
san martin,mustardinha,1099.07,R. Araguaia
san martin,jiquia,1757.71,R. Santo Angelo
passarinho,brejo da guabiraba,1943.09,Av Pres Cafe Filho
passarinho,brejo de beberibe,2079.79,Av Canaa
jardim sao paulo,areias,1986.12,R. José Natario
jardim sao paulo,tejipio,1746.41,R. Prof Henrique de Lucena
jardim sao paulo,estancia,1517.59,R. Sen Alberto Pasqualini
jardim sao paulo,barro,2055.46,Av. Santo Antônio
jardim sao paulo,jiquia,2185.47,R. Antônio Carneiro
areias,barro,2236.34,R. Cap Alfredo Passos
areias,estancia,1208.45,R. Dr Adelino Filho
areias,jiquia,1421.21,R. Elizeu Cesar
estancia,jiquia,671.05,R. Antônio Carneiro
estancia,san martin,937.08,R. Morais e Silva
prado,madalena,1597.05,R. Carlos Gomes
fundao,agua fria,643.29,R. Alto Bonito
poco,casa amarela,1244.69,R. Prof Alvaro Lima
poco,monteiro,1216.78,R. Jorge de Albuquerque
beberibe,linha do tiro,1037.74,R. Almenara
beberibe,agua fria,1241.35,R. Alto Longa
bomba do hemeterio,mangabeira,408.34,R. Itabira
bomba do hemeterio,alto jose do pinho,740.95,R. Arlindo Cisneiro
bomba do hemeterio,alto santa terezinha,901.56,R. Airi
bomba do hemeterio,agua fria,758.11,R. Antônio Meira
mangabeira,alto jose do pinho,664.09,R. Aquiraz
mangabeira,casa amarela,1579.29,R. Maragogi
mangabeira,arruda,1410.33,R. Jacob
